symboling,normalized_losses,make,fuel_type,aspiration,num_of_doors,body_style,drive_wheels,engine_location,wheel_base,length,width,height,curb_weight,engine_type,num_of_cylinders,engine_size,fuel_system,bore,stroke,compression_ratio,horsepower,peak_rpm,city_mpg,highway_mpg,price,city-L/100km,highway-L/100km,length_scaled,width_scaled,height_scaled,horsepower_binned,fuel_type_diesel,fuel_type_gas,aspiration_std,aspiration_turbo
3,122,alfa-romero,gas,std,two,convertible,rwd,front,88.6,168.8,64.1,48.8,2548.0,dohc,four,130.0,mpfi,3.47,2.68,9.0,111,5000.0,21.0,27.0,13495.0,11.19047619047619,8.703703703703704,0.8111484863046613,0.8902777777777777,0.8160535117056856,Low,0,1,1,0
3,122,alfa-romero,gas,std,two,convertible,rwd,front,88.6,168.8,64.1,48.8,2548.0,dohc,four,130.0,mpfi,3.47,2.68,9.0,111,5000.0,21.0,27.0,16500.0,11.19047619047619,8.703703703703704,0.8111484863046613,0.8902777777777777,0.8160535117056856,Low,0,1,1,0
1,122,alfa-romero,gas,std,two,hatchback,rwd,front,94.5,171.2,65.5,52.4,2823.0,ohcv,six,152.0,mpfi,2.68,3.47,9.0,154,5000.0,19.0,26.0,16500.0,12.368421052631579,9.038461538461538,0.8226814031715521,0.9097222222222222,0.8762541806020067,Medium,0,1,1,0
2,164,audi,gas,std,four,sedan,fwd,front,99.8,176.6,66.2,54.3,2337.0,ohc,four,109.0,mpfi,3.19,3.4,10.0,102,5500.0,24.0,30.0,13950.0,9.791666666666666,7.833333333333333,0.8486304661220567,0.9194444444444445,0.9080267558528428,Low,0,1,1,0
2,164,audi,gas,std,four,sedan,4wd,front,99.4,176.6,66.4,54.3,2824.0,ohc,five,136.0,mpfi,3.19,3.4,8.0,115,5500.0,18.0,22.0,17450.0,13.055555555555555,10.681818181818182,0.8486304661220567,0.9222222222222223,0.9080267558528428,Low,0,1,1,0
2,122,audi,gas,std,two,sedan,fwd,front,99.8,177.3,66.3,53.1,2507.0,ohc,five,136.0,mpfi,3.19,3.4,8.5,110,5500.0,19.0,25.0,15250.0,12.368421052631579,9.4,0.8519942335415667,0.9208333333333333,0.8879598662207359,Low,0,1,1,0
1,158,audi,gas,std,four,sedan,fwd,front,105.8,192.7,71.4,55.7,2844.0,ohc,five,136.0,mpfi,3.19,3.4,8.5,110,5500.0,19.0,25.0,17710.0,12.368421052631579,9.4,0.9259971167707832,0.9916666666666667,0.931438127090301,Low,0,1,1,0
1,122,audi,gas,std,four,wagon,fwd,front,105.8,192.7,71.4,55.7,2954.0,ohc,five,136.0,mpfi,3.19,3.4,8.5,110,5500.0,19.0,25.0,18920.0,12.368421052631579,9.4,0.9259971167707832,0.9916666666666667,0.931438127090301,Low,0,1,1,0
1,158,audi,gas,turbo,four,sedan,fwd,front,105.8,192.7,71.4,55.9,3086.0,ohc,five,131.0,mpfi,3.13,3.4,8.3,140,5500.0,17.0,20.0,23875.0,13.823529411764707,11.75,0.9259971167707832,0.9916666666666667,0.9347826086956522,Medium,0,1,0,1
2,192,bmw,gas,std,two,sedan,rwd,front,101.2,176.8,64.8,54.3,2395.0,ohc,four,108.0,mpfi,3.5,2.8,8.8,101,5800.0,23.0,29.0,16430.0,10.217391304347826,8.10344827586207,0.849591542527631,0.8999999999999999,0.9080267558528428,Low,0,1,1,0
0,192,bmw,gas,std,four,sedan,rwd,front,101.2,176.8,64.8,54.3,2395.0,ohc,four,108.0,mpfi,3.5,2.8,8.8,101,5800.0,23.0,29.0,16925.0,10.217391304347826,8.10344827586207,0.849591542527631,0.8999999999999999,0.9080267558528428,Low,0,1,1,0
0,188,bmw,gas,std,two,sedan,rwd,front,101.2,176.8,64.8,54.3,2710.0,ohc,six,164.0,mpfi,3.31,3.19,9.0,121,4250.0,21.0,28.0,20970.0,11.19047619047619,8.392857142857142,0.849591542527631,0.8999999999999999,0.9080267558528428,Medium,0,1,1,0
0,188,bmw,gas,std,four,sedan,rwd,front,101.2,176.8,64.8,54.3,2765.0,ohc,six,164.0,mpfi,3.31,3.19,9.0,121,4250.0,21.0,28.0,21105.0,11.19047619047619,8.392857142857142,0.849591542527631,0.8999999999999999,0.9080267558528428,Medium,0,1,1,0
1,122,bmw,gas,std,four,sedan,rwd,front,103.5,189.0,66.9,55.7,3055.0,ohc,six,164.0,mpfi,3.31,3.19,9.0,121,4250.0,20.0,25.0,24565.0,11.75,9.4,0.9082172032676598,0.9291666666666667,0.931438127090301,Medium,0,1,1,0
0,122,bmw,gas,std,four,sedan,rwd,front,103.5,189.0,66.9,55.7,3230.0,ohc,six,209.0,mpfi,3.62,3.39,8.0,182,5400.0,16.0,22.0,30760.0,14.6875,10.681818181818182,0.9082172032676598,0.9291666666666667,0.931438127090301,Medium,0,1,1,0
0,122,bmw,gas,std,two,sedan,rwd,front,103.5,193.8,67.9,53.7,3380.0,ohc,six,209.0,mpfi,3.62,3.39,8.0,182,5400.0,16.0,22.0,41315.0,14.6875,10.681818181818182,0.9312830370014417,0.9430555555555556,0.8979933110367894,Medium,0,1,1,0
0,122,bmw,gas,std,four,sedan,rwd,front,110.0,197.0,70.9,56.3,3505.0,ohc,six,209.0,mpfi,3.62,3.39,8.0,182,5400.0,15.0,20.0,36880.0,15.666666666666666,11.75,0.9466602594906295,0.9847222222222223,0.9414715719063546,Medium,0,1,1,0
2,121,chevrolet,gas,std,two,hatchback,fwd,front,88.4,141.1,60.3,53.2,1488.0,l,three,61.0,2bbl,2.91,3.03,9.5,48,5100.0,47.0,53.0,5151.0,5.0,4.433962264150943,0.6780394041326285,0.8374999999999999,0.8896321070234114,Low,0,1,1,0
1,98,chevrolet,gas,std,two,hatchback,fwd,front,94.5,155.9,63.6,52.0,1874.0,ohc,four,90.0,2bbl,3.03,3.11,9.6,70,5400.0,38.0,43.0,6295.0,6.184210526315789,5.465116279069767,0.7491590581451226,0.8833333333333333,0.8695652173913044,Low,0,1,1,0
0,81,chevrolet,gas,std,four,sedan,fwd,front,94.5,158.8,63.6,52.0,1909.0,ohc,four,90.0,2bbl,3.03,3.11,9.6,70,5400.0,38.0,43.0,6575.0,6.184210526315789,5.465116279069767,0.7630946660259491,0.8833333333333333,0.8695652173913044,Low,0,1,1,0
1,118,dodge,gas,std,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,1876.0,ohc,four,90.0,2bbl,2.97,3.23,9.41,68,5500.0,37.0,41.0,5572.0,6.351351351351352,5.7317073170731705,0.7558865929841423,0.8861111111111111,0.8494983277591973,Low,0,1,1,0
1,118,dodge,gas,std,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,1876.0,ohc,four,90.0,2bbl,2.97,3.23,9.4,68,5500.0,31.0,38.0,6377.0,7.580645161290323,6.184210526315789,0.7558865929841423,0.8861111111111111,0.8494983277591973,Low,0,1,1,0
1,118,dodge,gas,turbo,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,2128.0,ohc,four,98.0,mpfi,3.03,3.39,7.6,102,5500.0,24.0,30.0,7957.0,9.791666666666666,7.833333333333333,0.7558865929841423,0.8861111111111111,0.8494983277591973,Low,0,1,0,1
1,148,dodge,gas,std,four,hatchback,fwd,front,93.7,157.3,63.8,50.6,1967.0,ohc,four,90.0,2bbl,2.97,3.23,9.4,68,5500.0,31.0,38.0,6229.0,7.580645161290323,6.184210526315789,0.7558865929841423,0.8861111111111111,0.8461538461538463,Low,0,1,1,0
1,148,dodge,gas,std,four,sedan,fwd,front,93.7,157.3,63.8,50.6,1989.0,ohc,four,90.0,2bbl,2.97,3.23,9.4,68,5500.0,31.0,38.0,6692.0,7.580645161290323,6.184210526315789,0.7558865929841423,0.8861111111111111,0.8461538461538463,Low,0,1,1,0
1,148,dodge,gas,std,four,sedan,fwd,front,93.7,157.3,63.8,50.6,1989.0,ohc,four,90.0,2bbl,2.97,3.23,9.4,68,5500.0,31.0,38.0,7609.0,7.580645161290323,6.184210526315789,0.7558865929841423,0.8861111111111111,0.8461538461538463,Low,0,1,1,0
1,148,dodge,gas,turbo,four,sedan,fwd,front,93.7,157.3,63.8,50.6,2191.0,ohc,four,98.0,mpfi,3.03,3.39,7.6,102,5500.0,24.0,30.0,8558.0,9.791666666666666,7.833333333333333,0.7558865929841423,0.8861111111111111,0.8461538461538463,Low,0,1,0,1
-1,110,dodge,gas,std,four,wagon,fwd,front,103.3,174.6,64.6,59.8,2535.0,ohc,four,122.0,2bbl,3.34,3.46,8.5,88,5000.0,24.0,30.0,8921.0,9.791666666666666,7.833333333333333,0.8390197020663143,0.8972222222222221,1.0,Low,0,1,1,0
3,145,dodge,gas,turbo,two,hatchback,fwd,front,95.9,173.2,66.3,50.2,2811.0,ohc,four,156.0,mfi,3.6,3.9,7.0,145,5000.0,19.0,24.0,12964.0,12.368421052631579,9.791666666666666,0.8322921672272945,0.9208333333333333,0.8394648829431439,Medium,0,1,0,1
2,137,honda,gas,std,two,hatchback,fwd,front,86.6,144.6,63.9,50.8,1713.0,ohc,four,92.0,1bbl,2.91,3.41,9.6,58,4800.0,49.0,54.0,6479.0,4.795918367346939,4.351851851851852,0.6948582412301778,0.8875,0.8494983277591973,Low,0,1,1,0
2,137,honda,gas,std,two,hatchback,fwd,front,86.6,144.6,63.9,50.8,1819.0,ohc,four,92.0,1bbl,2.91,3.41,9.2,76,6000.0,31.0,38.0,6855.0,7.580645161290323,6.184210526315789,0.6948582412301778,0.8875,0.8494983277591973,Low,0,1,1,0
1,101,honda,gas,std,two,hatchback,fwd,front,93.7,150.0,64.0,52.6,1837.0,ohc,four,79.0,1bbl,2.91,3.07,10.1,60,5500.0,38.0,42.0,5399.0,6.184210526315789,5.595238095238095,0.7208073041806824,0.8888888888888888,0.8795986622073579,Low,0,1,1,0
1,101,honda,gas,std,two,hatchback,fwd,front,93.7,150.0,64.0,52.6,1940.0,ohc,four,92.0,1bbl,2.91,3.41,9.2,76,6000.0,30.0,34.0,6529.0,7.833333333333333,6.911764705882353,0.7208073041806824,0.8888888888888888,0.8795986622073579,Low,0,1,1,0
1,101,honda,gas,std,two,hatchback,fwd,front,93.7,150.0,64.0,52.6,1956.0,ohc,four,92.0,1bbl,2.91,3.41,9.2,76,6000.0,30.0,34.0,7129.0,7.833333333333333,6.911764705882353,0.7208073041806824,0.8888888888888888,0.8795986622073579,Low,0,1,1,0
0,110,honda,gas,std,four,sedan,fwd,front,96.5,163.4,64.0,54.5,2010.0,ohc,four,92.0,1bbl,2.91,3.41,9.2,76,6000.0,30.0,34.0,7295.0,7.833333333333333,6.911764705882353,0.7851994233541567,0.8888888888888888,0.911371237458194,Low,0,1,1,0
0,78,honda,gas,std,four,wagon,fwd,front,96.5,157.1,63.9,58.3,2024.0,ohc,four,92.0,1bbl,2.92,3.41,9.2,76,6000.0,30.0,34.0,7295.0,7.833333333333333,6.911764705882353,0.754925516578568,0.8875,0.9749163879598662,Low,0,1,1,0
